scene_id,building_id,dataset_version,description_model,free_min_x,free_min_y,free_min_z,free_centroid_x,free_centroid_y,free_centroid_z,free_voxel_count,free_bbox_volume,free_occupancy_density,free_centroid_distance,free_absolute_iou,free_translation_aligned_iou,free_bbox_dimension_mae,free_alignment_shift_x,free_alignment_shift_y,free_alignment_shift_z,free_alignment_shift_magnitude,free_normalized_add_cost,free_normalized_delete_cost,free_normalized_replace_cost,free_total_normalized_repair_cost,free_action_count,structured_min_x,structured_min_y,structured_min_z,structured_centroid_x,structured_centroid_y,structured_centroid_z,structured_voxel_count,structured_bbox_volume,structured_occupancy_density,structured_centroid_distance,structured_absolute_iou,structured_translation_aligned_iou,structured_bbox_dimension_mae,structured_alignment_shift_x,structured_alignment_shift_y,structured_alignment_shift_z,structured_alignment_shift_magnitude,structured_normalized_add_cost,structured_normalized_delete_cost,structured_normalized_replace_cost,structured_total_normalized_repair_cost,structured_action_count,delta_absolute_iou,delta_translation_aligned_iou,delta_bbox_dimension_mae,delta_centroid_distance,delta_alignment_shift_magnitude,delta_voxel_count,delta_bbox_volume,delta_occupancy_density,free_voxel_count_ratio,structured_voxel_count_ratio,delta_voxel_count_ratio,delta_shift_l1,delta_shift_l2,gt_min_x,gt_min_y,gt_min_z,gt_centroid_x,gt_centroid_y,gt_centroid_z,gt_voxel_count,gt_bbox_volume,gt_occupancy_density,free_position_grounding_loss,free_residual_intrinsic_geometry_error,structured_position_grounding_loss,structured_residual_intrinsic_geometry_error,delta_position_grounding_loss,delta_residual_intrinsic_geometry_error
v1:building_000,building_000,v1,claude,-1,0,-1,4.5,5.158385093167702,4.5,1288,1728,0.7453703703703703,4.91522381951501,0.1653290529695024,0.3260273972602739,5.0,3,3,3,5.196152422706632,0.5581683168316832,0.3551980198019802,0.4294554455445544,1.3428217821782178,16,-6,0,-6,0.0,5.017968210089841,0.0,1447,2535,0.5708086785009862,10.515673506149316,0.0668756530825496,0.3248269896193771,4.666666666666667,5,3,7,9.1104335791443,0.5352722772277227,0.4306930693069307,0.3650990099009901,1.3310643564356437,18,-0.0984533998869528,-0.0012004076408967945,-0.33333333333333304,5.600449686634306,3.914281156437667,159,807,-0.1745616918693842,0.7970297029702971,0.8954207920792079,0.09839108910891081,6,4.47213595499958,-2,3,-2,8.0,8.264851485148515,6.0030940594059405,1616,4641,0.34820081878905407,0.1606983442907715,0.6739726027397261,0.2579513365368275,0.6751730103806228,0.09725299224605599,0.0012004076408966835
v1:building_000,building_000,v1,gemini,-1,0,0,6.0,3.856759176365264,4.494180841539839,1117,1650,0.676969696969697,5.070315266510071,0.1492851135407905,0.2553973357831878,5.0,0,8,0,8.0,0.655940594059406,0.3471534653465346,0.3217821782178218,1.3248762376237624,42,0,0,0,6.0,6.398081534772182,4.5,1668,2210,0.7547511312217194,3.121557591820065,0.255831739961759,0.3088880031885213,6.333333333333333,0,3,3,4.242640687119285,0.5204207920792079,0.5525990099009901,0.396039603960396,1.469059405940594,31,0.10654662642096852,0.05349066740533348,1.333333333333333,-1.9487576746900057,-3.7573593128807152,551,560,0.07778143425202244,0.6912128712871287,1.0321782178217822,0.3409653465346535,8,5.830951894845301,-2,3,-2,8.0,8.264851485148515,6.0030940594059405,1616,4641,0.34820081878905407,0.1061122222423973,0.7446026642168122,0.05305626322676227,0.6911119968114787,-0.053055959015635035,-0.05349066740533348
v1:building_000,building_000,v1,openai,-1,0,-1,4.0,2.8972477064220183,8.0,1090,1672,0.6519138755980861,6.985614050388041,0.114497528830313,0.2096557890031292,5.666666666666667,4,8,0,8.94427190999916,0.7097772277227723,0.3842821782178218,0.2233910891089109,1.317450495049505,42,-1,0,-1,4.0,3.2472426470588234,8.0,1088,1881,0.5784157363104732,6.720419018755872,0.1610133104336625,0.2136445242369838,5.333333333333333,0,4,-2,4.47213595499958,0.7054455445544554,0.3787128712871287,0.2735148514851485,1.3576732673267329,34,0.04651578160334949,0.003988735233854596,-0.3333333333333339,-0.2651950316321692,-4.47213595499958,-2,209,-0.07349813928761295,0.6745049504950495,0.6732673267326733,-0.0012376237623762387,10,6.0,-2,3,-2,8.0,8.264851485148515,6.0030940594059405,1616,4641,0.34820081878905407,0.0951582601728162,0.7903442109968708,0.05263121380332131,0.7863554757630162,-0.04252704636949489,-0.003988735233854568
v1:building_001,building_001,v1,claude,0,0,0,5.5,2.451178451178451,4.501683501683502,594,1080,0.55,6.9171090993617375,0.0714600794000882,0.1583214115402956,7.333333333333333,3,8,-1,8.602325267042627,0.8190735694822888,0.1427792915531335,0.1634877384196185,1.125340599455041,23,0,0,0,5.5,2.900293255131965,4.5014662756598245,682,1200,0.5683333333333334,6.538132121667747,0.0807213396307428,0.1867043847241867,7.0,2,8,0,8.246211251235321,0.7841961852861036,0.155858310626703,0.1809264305177111,1.1209809264305175,27,0.0092612602306546,0.028382973183891103,-0.33333333333333304,-0.3789769776939904,-0.3561140158073055,88,120,0.018333333333333313,0.3237057220708447,0.37166212534059945,0.047956403269754755,2,1.4142135623730951,-2,3,-2,8.500272479564032,8.35367847411444,6.502997275204359,1835,5148,0.35644910644910643,0.08686133214020741,0.8416785884597044,0.10598304509344392,0.8132956152758133,0.019121712953236503,-0.028382973183891158
v1:building_001,building_001,v1,gemini,0,0,0,6.0,5.830457290767903,8.0,2318,3094,0.7491919844861021,3.8547405580920158,0.2058652729384436,0.4063664070436844,3.6666666666666665,2,3,-1,3.741657386773941,0.3460490463215259,0.6092643051771117,0.3444141689373297,1.2997275204359673,27,0,0,0,6.0,5.37367405978785,7.949855351976856,2074,2873,0.7218934911242604,4.150323731444699,0.1809667673716012,0.349326889886089,3.333333333333333,2,3,-2,4.123105625617661,0.4485013623978202,0.5787465940054496,0.329700272479564,1.3569482288828338,22,-0.024898505566842394,-0.057039517157595365,-0.3333333333333335,0.295583173352683,0.3814482388437197,-244,-221,-0.027298493361841758,1.2632152588555858,1.1302452316076295,-0.13297002724795637,1,1.0,-2,3,-2,8.500272479564032,8.35367847411444,6.502997275204359,1835,5148,0.35644910644910643,0.20050113410524079,0.5936335929563157,0.16836012251448781,0.6506731101139109,-0.03214101159075297,0.057039517157595254
v1:building_001,building_001,v1,openai,0,0,0,5.0,3.6872037914691944,3.0,422,924,0.45670995670995673,6.804328277284361,0.053688141923436,0.1234444997511199,7.666666666666667,3,8,-1,8.602325267042627,0.864850136239782,0.0948228882833787,0.1002724795640327,1.0599455040871937,35,0,0,0,5.0,3.743181818181818,3.0,440,770,0.5714285714285714,6.7660606526728975,0.0630841121495327,0.1223482979773063,8.333333333333334,3,8,-1,8.602325267042627,0.864850136239782,0.1046321525885558,0.1198910081743869,1.0893732970027248,22,0.0093959702260967,-0.0010962017738136015,0.666666666666667,-0.03826762461146327,0.0,18,-154,0.11471861471861466,0.22997275204359674,0.23978201634877383,0.00980926430517709,0,0.0,-2,3,-2,8.500272479564032,8.35367847411444,6.502997275204359,1835,5148,0.35644910644910643,0.0697563578276839,0.8765555002488801,0.0592641858277736,0.8776517020226937,-0.010492171999910302,0.0010962017738136431
v1:building_002,building_002,v1,claude,-6,-1,-7,-0.5006242197253433,1.6367041198501873,-0.50187265917603,801,1512,0.5297619047619048,8.82995518257794,0.0529411764705882,0.4450050454086781,1.6666666666666667,5,4,5,8.12403840463596,0.3011093502377179,0.5705229793977813,0.4675118858954041,1.3391442155309032,21,-6,-1,-7,-0.5,2.343137254901961,-0.5,816,1680,0.4857142857142857,8.522713972028896,0.06007326007326,0.3886756238003839,2.0,5,3,5,7.681145747868608,0.358161648177496,0.6513470681458003,0.4057052297939778,1.415213946117274,20,0.007132083602671799,-0.05632942160829418,0.33333333333333326,-0.3072412105490443,-0.442892656767353,15,168,-0.04404761904761906,1.2694136291600633,1.2931854199683044,0.0237717908082411,1,1.0,-2,3,-2,5.500792393026941,5.744849445324881,4.505546751188589,631,1792,0.3521205357142857,0.39206386893808987,0.554994954591322,0.3286023637271239,0.6113243761996161,-0.06346150521096594,0.05632942160829413
v1:building_002,building_002,v1,gemini,-1,0,-1,5.5,1.8574712643678162,7.0,870,1904,0.4569327731092437,4.618875053535609,0.1028655400440852,0.3695255474452554,1.6666666666666667,0,3,-2,3.605551275463989,0.358161648177496,0.7369255150554676,0.572107765451664,1.6671949286846277,20,-7,0,-8,0.0,2.493723849372385,0.0,1195,2295,0.5206971677559913,7.818470829963273,0.0862581796549672,0.3949579831932773,1.6666666666666667,5,3,4,7.071067811865476,0.1806656101426307,1.0744849445324882,0.7939778129952456,2.0491283676703644,22,-0.016607360389118003,0.025432435748021898,0.0,3.199595776427664,3.4655165364014873,325,391,0.0637643946467476,1.3787638668779714,1.8938193343898573,0.5150554675118859,11,7.810249675906654,-2,3,-2,5.500792393026941,5.744849445324881,4.505546751188589,631,1792,0.3521205357142857,0.2666600074011702,0.6304744525547445,0.3086998035383101,0.6050420168067228,0.04203979613713993,-0.025432435748021787
v1:building_002,building_002,v1,openai,-5,0,-6,0.0,2.7708333333333335,0.0,528,1001,0.5274725274725275,7.707362733952155,0.0831775700934579,0.3051801801801801,2.333333333333333,4,2,4,6.0,0.5705229793977813,0.4072900158478605,0.3264659270998415,1.3042789223454834,21,0,0,-1,4.990853658536586,2.3353658536585367,5.987804878048781,656,1155,0.567965367965368,3.752559796914467,0.1626016260162601,0.3490566037735849,2.333333333333333,-1,3,-2,3.741657386773941,0.4722662440570523,0.5118858954041204,0.2155309033280507,1.1996830427892236,50,0.0794240559228022,0.04387642359340477,0.0,-3.954802937037688,-2.258342613226059,128,154,0.04049284049284052,0.8367670364500792,1.0396196513470681,0.20285261489698891,12,7.874007874011811,-2,3,-2,5.500792393026941,5.744849445324881,4.505546751188589,631,1792,0.3521205357142857,0.22200261008672223,0.6948198198198199,0.18645497775732478,0.6509433962264151,-0.03554763232939745,-0.04387642359340482
v1:building_003,building_003,v1,claude,-2,0,-2,4.52,2.2111111111111112,3.488888888888889,450,1176,0.3826530612244898,5.838913066248405,0.0830629461388708,0.2227106227106227,4.666666666666667,2,4,2,4.898979485566356,0.7506152584085316,0.1197703035274815,0.2493847415914684,1.1197703035274815,32,-1,0,-1,4.578059071729958,2.1582278481012658,3.4683544303797467,474,840,0.5642857142857143,5.856779116355569,0.0852564102564102,0.2049822064056939,5.666666666666667,3,8,1,8.602325267042627,0.7637407711238721,0.1525840853158326,0.2362592288761279,1.152584085315833,22,0.002193464117539401,-0.0177284163049288,1.0,0.017866050107164355,3.703345781476271,24,-336,0.1816326530612245,0.36915504511895,0.3888433141919606,0.019688269073010634,6,4.242640687119285,-2,3,-2,7.500410172272354,6.225594749794914,6.504511894995899,1219,3240,0.37623456790123455,0.1396476765717519,0.7772893772893773,0.11972579614928369,0.7950177935943061,-0.019921880422468202,0.01772841630492883
