model,metric,n,mean,median,ci95_low,ci95_high
pooled,delta_absolute_iou,600,-0.009469503523406635,-0.0015275873887175,-0.013409156447400533,-0.005712643759158128
pooled,delta_translation_aligned_iou,600,0.004281028576853237,0.0002784402756845466,-0.00013453835375119565,0.008765557447431719
pooled,delta_bbox_dimension_mae,600,-0.2227777777777778,0.0,-0.3838888888888889,-0.06441666666666712
pooled,delta_centroid_distance,600,1.0671825020937595,0.04200710726169721,0.7693431866702866,1.3751193230989058
pooled,delta_alignment_shift_magnitude,600,0.8822127689427222,0.0,0.4791977775447944,1.3027495239908486
pooled,delta_voxel_count_ratio,600,0.02169444857292043,0.0,-0.02947297776123991,0.07217196255745256
pooled,delta_occupancy_density,600,-0.003933530845037336,-0.005222681359044912,-0.023910179909634503,0.01626190003533239
pooled,delta_position_grounding_loss,600,0.013750532100259871,0.005303085716072284,0.008336386361335048,0.01922672165148298
pooled,delta_residual_intrinsic_geometry_error,600,-0.004281028576853236,-0.0002784402756845217,-0.008765557447431722,0.0001345383537511961
openai,delta_absolute_iou,200,-0.006041167277622583,-0.003119904281808701,-0.011682674136855174,-0.0005085094498536522
openai,delta_translation_aligned_iou,200,0.006877682591156997,0.00331312683961639,-0.000798724692951789,0.014648678062686684
openai,delta_bbox_dimension_mae,200,-0.29500000000000004,0.0,-0.6067083333333333,-0.0400000000000001
openai,delta_centroid_distance,200,1.003570839188132,0.0890453359739265,0.4593804037980788,1.5478537132086574
openai,delta_alignment_shift_magnitude,200,0.6344126570557441,0.0,-0.07101049635577071,1.300262375830602
openai,delta_voxel_count_ratio,200,0.06752680393325919,0.007829670329670413,0.009460320876515506,0.12610072430349442
openai,delta_occupancy_density,200,-0.009868120316691056,-0.021079718283665644,-0.03521375087708832,0.016352522937779237
openai,delta_position_grounding_loss,200,0.012918849868779583,0.007195312928185114,0.004604655259311852,0.020955547473664283
openai,delta_residual_intrinsic_geometry_error,200,-0.006877682591156995,-0.003313126839616376,-0.014648678062686682,0.0007987246929517858
claude,delta_absolute_iou,200,-0.012145370592757889,-0.0020133740515322495,-0.018896069042001935,-0.0053439911089495275
claude,delta_translation_aligned_iou,200,0.00940328978608199,0.002257383005385055,0.001510869829127443,0.017270402550170975
claude,delta_bbox_dimension_mae,200,-0.32500000000000007,0.0,-0.5433333333333333,-0.11166666666666673
claude,delta_centroid_distance,200,1.1463301320824033,0.09908076551350042,0.6684738297525948,1.6345161863530284
claude,delta_alignment_shift_magnitude,200,1.03692714469902,0.15732156858080693,0.265042674554984,1.8172316455495459
claude,delta_voxel_count_ratio,200,0.05474883289808174,0.016842401858351425,0.0199244848193194,0.09086244788022249
claude,delta_occupancy_density,200,-0.03663846641147574,-0.02620791476237061,-0.0602437842158969,-0.01317448071838147
claude,delta_position_grounding_loss,200,0.02154866037883988,0.009864504507348548,0.011610184778718731,0.032219373661404496
claude,delta_residual_intrinsic_geometry_error,200,-0.009403289786081995,-0.0022573830053850275,-0.01727040255017098,-0.001510869829127449
gemini,delta_absolute_iou,200,-0.010221972699839427,-0.00012632794605998976,-0.01731242761620912,-0.0029427004919887036
gemini,delta_translation_aligned_iou,200,-0.003437886646679277,0.0,-0.010760287457662176,0.0037257348828825905
gemini,delta_bbox_dimension_mae,200,-0.04833333333333332,0.0,-0.36666666666666664,0.2783333333333334
gemini,delta_centroid_distance,200,1.0516465350107433,0.0,0.4758496776381145,1.657176762202781
gemini,delta_alignment_shift_magnitude,200,0.9752985050734021,0.0,0.2540218128834893,1.6935770830689878
gemini,delta_voxel_count_ratio,200,-0.05719229111257966,0.0,-0.1945047136934297,0.07586362450959017
gemini,delta_occupancy_density,200,0.03470599419305479,0.0,-0.012410378320926941,0.08423208142964453
gemini,delta_position_grounding_loss,200,0.006784086053160151,0.0002690202171843982,-0.001970441434625368,0.015224185833287074
gemini,delta_residual_intrinsic_geometry_error,200,0.0034378866466792833,0.0,-0.0037257348828825896,0.010760287457662176
