term,estimate,se,p,ci95_low,ci95_high,vif
Intercept,-0.04621345475913825,0.01361153045206836,0.0006858609324136628,-0.07289156421966245,-0.019535345298614067,
C(description_model)[T.gemini],0.001003822842505823,0.003971936531798917,0.8004777736451056,-0.006781029708698986,0.008788675393710631,
C(description_model)[T.openai],0.004232330780462589,0.003527300935958533,0.230186726627729,-0.002681052016650559,0.011145713577575737,
delta_bbox_dimension_mae,-0.003164282384594496,0.0013838896500807025,0.022224234533615987,-0.005876656257330411,-0.0004519085118585811,
delta_centroid_distance,-0.007432070555240549,0.0006799773905201549,8.295903070369715e-28,-0.00876480175096158,-0.006099339359519517,2.0627213654710363
delta_alignment_shift_magnitude,9.660074496286943e-05,0.0003531920040594318,0.7844629474620846,-0.0005956428626211414,0.0007888443525468803,
delta_voxel_count_ratio,0.009728809956477942,0.003978766702989268,0.01447789368459549,0.0019305705157318014,0.017527049397224083,
delta_occupancy_density,0.030644826691200576,0.00784360616144881,9.345618154862922e-05,0.015271641105844447,0.046018012276556705,
complexity,0.0054727404649958025,0.0016510777488328503,0.0009175880847519578,0.0022366875416079466,0.008708793388383658,1.0936467373882806
