term,estimate,se,p,ci95_low,ci95_high
Intercept,0.7694065964724561,0.3827519552479941,0.044410407963777876,0.01922654917410116,1.5195866437708112
C(description_model)[T.gemini],1.0166055815051553,0.10243948644169494,3.274920120299513e-23,0.8158278774846541,1.2173832855256566
C(description_model)[T.openai],0.09648672722012261,0.10792386788064566,0.37130806293706764,-0.11504016689820201,0.30801362133844723
completeness_score,1.3519441092699758,0.2918611720709058,3.6189150369018657e-06,0.779906723525353,1.9239814950145986
np.log1p(gt_voxel_count),-0.9122076723654537,0.17585907036276316,2.1353480703154774e-07,-1.2568851166311648,-0.5675302280997427
np.log1p(gt_bbox_volume),0.69899943765588,0.13200102971644623,1.1875033467143584e-07,0.440282173489444,0.957716701822316
gt_material_count,-0.0627514147499461,0.03608410301282374,0.0820291103699307,-0.1334749570695139,0.007972127569621693
description_char_count,9.69316324716763e-05,0.00013487648346351678,0.4723444998807983,-0.00016742141747822875,0.00036128468242158134
