,free_voxel_count_ratio,free_voxel_count_ratio,free_voxel_count_ratio,free_normalized_add_cost,free_normalized_add_cost,free_normalized_add_cost,free_normalized_delete_cost,free_normalized_delete_cost,free_normalized_delete_cost,free_normalized_replace_cost,free_normalized_replace_cost,free_normalized_replace_cost,free_total_normalized_repair_cost,free_total_normalized_repair_cost,free_total_normalized_repair_cost,free_translation_aligned_iou,free_translation_aligned_iou,free_translation_aligned_iou,free_bbox_dimension_mae,free_bbox_dimension_mae,free_bbox_dimension_mae
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
completeness_quantile,,,,,,,,,,,,,,,,,,,,,
low,200,0.821496452239642,0.7101126064978216,200,0.6273027386150365,0.619207414509428,200,0.44879919085467845,0.3221021397923426,200,0.27171486960271013,0.2797944064353952,200,1.347816799072425,1.2458802960979058,200,0.235482593636089,0.2656453527913223,200,7.365,5.0
mid,200,1.1786300720849636,0.9152053517711429,200,0.5815069901932065,0.6252259994717833,200,0.7601370622781702,0.48062220473151074,200,0.32020147092982987,0.2914379802414928,200,1.6618455234012066,1.3759883604514833,200,0.2433742541538302,0.2344689340372897,200,8.075,6.0
high,200,1.1833576438403652,0.829946645710977,200,0.6633148268092321,0.6987326544366282,200,0.8466724706495973,0.5326353821407681,200,0.2588888083487532,0.2434277668044033,200,1.7688761058075826,1.479440842735356,200,0.18041976525943632,0.1738976953499622,200,13.071666666666667,13.333333333333334
