ci95_high,ci95_low,mean_difference,metric,n,permutation_p,permutation_p_holm,subset,wilcoxon_p,wilcoxon_p_holm
-0.005712643759158128,-0.013409156447400533,-0.009469503523406635,absolute_iou,600,9.999000099990002e-05,0.0010998900109989002,all_600,1.4240724739534522e-05,0.00015664797213487975
0.008765557447431719,-0.00013453835375119565,0.004281028576853237,translation_aligned_iou,600,0.05849415058494151,0.29247075292470753,all_600,0.10374948494585591,0.4092047411958533
-0.06441666666666712,-0.3838888888888889,-0.2227777777777778,bbox_dimension_mae,600,0.004999500049995001,0.04999500049995001,all_600,0.00013097359011153868,0.0013097359011153868
0.0013922556667332183,-0.018865537275618544,-0.008435529110838705,material_set_f1,600,0.09959004099590041,0.39836016398360163,all_600,0.059117521104898034,0.29558760552449015
0.002195804719854061,-0.020377925422646128,-0.008907322769318101,material_histogram_similarity,600,0.1364863513648635,0.4094590540945905,all_600,0.10230118529896333,0.4092047411958533
-0.00041562150078233267,-0.0035538744224534223,-0.0019642948182517104,material_aware_iou,600,0.014098590140985901,0.12148785121487851,all_600,0.027614971409190326,0.24085434430179653
-0.0007864749767407038,-0.006565372575873132,-0.0036391207458975855,exact_position_material_f1,600,0.013498650134986502,0.12148785121487851,all_600,0.026761593811310727,0.24085434430179653
-0.0014884403957053588,-0.02188734413481041,-0.011795681902522868,normalized_add_cost,600,0.0211978802119788,0.1483851614838516,all_600,0.03632215048324237,0.25425505338269655
0.05329261486015312,-0.03474720358826017,0.009898766670397574,normalized_delete_cost,600,0.6662333766623337,1.0,all_600,0.36262239694123033,0.6217853806964533
0.01964975221460507,0.0005117873265063909,0.010046899860790536,normalized_replace_cost,600,0.03799620037996201,0.22797720227977203,all_600,0.0434403429914876,0.2606420579489256
0.04998986371439808,-0.03634171133347672,0.008149984628665247,total_normalized_repair_cost,600,0.7161283871612839,1.0,all_600,0.31089269034822664,0.6217853806964533
-0.005848337125140122,-0.013935771552297976,-0.009884350256745195,absolute_iou,559,9.999000099990002e-05,0.0010998900109989002,strictly_supported_559,2.7161206439531437e-05,0.0002987732708348458
0.010018596875278896,0.0006286839543230403,0.005267222512756334,translation_aligned_iou,559,0.025797420257974202,0.15478452154784522,strictly_supported_559,0.06441755647086955,0.32208778235434776
-0.11150864639236734,-0.4335271317829458,-0.2701252236135957,bbox_dimension_mae,559,0.0008999100089991,0.008999100089991,strictly_supported_559,0.00010450474430524674,0.0010450474430524674
0.0038226671732157465,-0.018030463378286364,-0.006982534272669797,material_set_f1,559,0.1984801519848015,0.7595240475952405,strictly_supported_559,0.11239203190265229,0.44956812761060916
0.0038890290557604926,-0.02087787712009045,-0.008192756021464033,material_histogram_similarity,559,0.18988101189881013,0.7595240475952405,strictly_supported_559,0.1432514413770122,0.44956812761060916
-0.0004838454585754999,-0.0037816217456192757,-0.0020996839826599393,material_aware_iou,559,0.014998500149985002,0.11438856114388561,strictly_supported_559,0.030540877889501612,0.23702087050716886
-0.000910400863331395,-0.006995000882416313,-0.0038887406099586217,exact_position_material_f1,559,0.014298570142985701,0.11438856114388561,strictly_supported_559,0.029627608813396107,0.23702087050716886
-0.0026794377291832214,-0.02424582393584582,-0.01347199372598365,normalized_add_cost,559,0.012698730126987301,0.11428857114288571,strictly_supported_559,0.021928571650906812,0.1973571448581613
0.05741516100407204,-0.03781055191395687,0.011493968569577776,normalized_delete_cost,559,0.6324367563243676,1.0,strictly_supported_559,0.3103405332494632,0.5338690525250582
0.021611737708168086,0.0012528708211239988,0.011515096261089649,normalized_replace_cost,559,0.0282971702829717,0.15478452154784522,strictly_supported_559,0.030428134489181795,0.23702087050716886
0.054924209158820805,-0.038456953219528404,0.009537071104683778,total_normalized_repair_cost,559,0.6873312668733127,1.0,strictly_supported_559,0.2669345262625291,0.5338690525250582
