scene_id,dataset_version,building_id,condition,evaluation_status,absolute_iou,translation_aligned_iou,absolute_f1,translation_aligned_f1,bbox_dimension_mae,centroid_distance,diagnostic_aligned_iou_10,material_aware_iou,exact_position_material_f1,material_set_precision,material_set_recall,material_set_f1,material_histogram_similarity,dominant_material_accuracy,add_count,delete_count,replace_count,normalized_add_cost,normalized_delete_cost,normalized_replace_cost,total_normalized_repair_cost,alignment_shift_magnitude,alignment_shift_x,alignment_shift_y,alignment_shift_z,bbox_depth_error,bbox_height_error,bbox_width_error,description_model,empty_build,executor_status,failure_as_zero,overlap_position_material_agreement,representation,unsupported_command_rate
v1:building_025,v1,building_025,direct_image_to_build,success,0.06829488919041157,0.4553296364756624,0.12785774767146485,0.6257408975444538,3.3333333333333335,10.484878247889835,0.4553296364756624,0.0,0.0,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.20531096468215299,0,170,714,713,0.18701870187018702,0.7854785478547854,0.7843784378437844,1.7568756875687568,,,,,,,,,,,,,,
v1:building_027,v1,building_027,direct_image_to_build,success,0.06443798449612403,0.40743113388853297,0.12107419208010925,0.5789713245334548,3.6666666666666665,10.228115364783156,0.40743113388853297,0.0009111617312072893,0.0018206645425580337,0.75,0.42857142857142855,0.5454545454545454,0.2034383954154728,0,411,514,579,0.39255014326647564,0.4909264565425024,0.5530085959885387,1.4364851957975167,,,,,,,,,,,,,,
v1:building_034,v1,building_034,direct_image_to_build,success,0.06405228758169934,0.30518439337252806,0.12039312039312039,0.46764946764946763,4.0,10.590295946555514,0.30518439337252806,0.0,0.0,0.625,0.8333333333333334,0.7142857142857143,0.56435174311605,0,396,904,541,0.4095139607032058,0.9348500517063082,0.5594622543950362,1.9038262668045502,,,,,,,,,,,,,,
v1:building_046,v1,building_046,direct_image_to_build,success,0.07800453514739229,0.19868885526979324,0.14472023559108121,0.3315103071098023,5.333333333333333,8.74504527256105,0.19868885526979324,0.008057675996607293,0.015986537652503154,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6779294344511736,0,503,1086,310,0.5607580824972129,1.2107023411371238,0.3455964325529543,2.117056856187291,,,,,,,,,,,,,,
v1:building_069,v1,building_069,direct_image_to_build,success,0.04994954591321897,0.2941542288557214,0.09514656415185005,0.454589139836617,5.0,9.400086201385266,0.2941542288557214,0.0024084778420038534,0.004805382027871216,0.875,1.0,0.9333333333333333,0.5808154741539675,0,454,681,446,0.48975188781014023,0.7346278317152104,0.4811218985976268,1.7055016181229774,,,,,,,,,,,,,,
v1:building_076,v1,building_076,direct_image_to_build,success,0.0680161943319838,0.34181078331637843,0.12736921910538287,0.5094768764215315,3.3333333333333335,9.832220358513274,0.34181078331637843,0.0,0.0,0.625,0.8333333333333334,0.7142857142857143,0.6715774050217406,0,243,1051,165,0.26557377049180325,1.1486338797814208,0.18032786885245902,1.5945355191256831,,,,,,,,,,,,,,
v1:building_079,v1,building_079,direct_image_to_build,success,0.06027667984189723,0.33873986275733,0.11369990680335508,0.506057781919851,4.0,9.543178588238726,0.33873986275733,0.0,0.0,0.75,0.42857142857142855,0.5454545454545454,0.1968802357155237,0,368,692,516,0.4039517014270033,0.7596048298572997,0.566410537870472,1.729967069154775,,,,,,,,,,,,,,
v1:building_083,v1,building_083,direct_image_to_build,success,0.08597621407333994,0.2819537876572097,0.15833903718913986,0.43988135979922427,5.666666666666667,9.30910624184172,0.2819537876572097,0.02048894062863795,0.04015514487793748,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3470828742423597,0,115,2340,894,0.10658016682113068,2.1686746987951806,0.8285449490268767,3.103799814643188,,,,,,,,,,,,,,
v1:building_007,v1,building_007,direct_image_to_build,success,0.055724858511101434,0.4025448235974552,0.10556701030927836,0.5740206185567011,1.0,11.138034694767406,0.4025448235974552,0.020622895622895623,0.04041237113402062,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.35427477628104304,0,387,646,670,0.3573407202216066,0.5964912280701754,0.61865189289012,1.5724838411819022,,,,,,,,,,,,,,
v1:building_009,v1,building_009,direct_image_to_build,success,0.0656084656084656,0.23558282208588957,0.12313803376365441,0.38133068520357494,5.666666666666667,10.270127058082677,0.23558282208588957,0.003654485049833887,0.007282356835484938,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.3839911310227153,0,635,1234,514,0.5243600330305532,1.018992568125516,0.4244426094137077,1.9677952105697771,,,,,,,,,,,,,,
