condition,absolute_iou,translation_aligned_iou,bbox_dimension_mae,material_set_f1,material_histogram_similarity,material_aware_iou,exact_position_material_f1,normalized_add_cost,normalized_delete_cost,normalized_replace_cost,total_normalized_repair_cost
direct_image_to_build,0.04831722394563794,0.2503265254866079,7.803333333333334,0.6541819022051221,0.4241201747479297,0.005862348957166594,0.011533000420648462,0.509981395573121,0.9390494427326381,0.3937083106949714,1.8427391490007308
free_form_claude,0.070759765426513,0.20861243217784856,11.036666666666667,0.4853452935952936,0.3793308266835033,0.013692376136093563,0.026116411410626355,0.7061338812007301,0.34322395521928784,0.24470245810686625,1.2940602945268844
free_form_gemini,0.090081196417535,0.21220052466430972,9.106666666666666,0.6325474802974803,0.4308021089301515,0.016833954811619832,0.031864085920395364,0.5276072375665802,1.2267963367085088,0.3313350991144567,2.085738673389546
free_form_openai,0.08429379167492301,0.22406287115297904,9.056666666666667,0.7259592221503987,0.47855905870310467,0.012925379969557567,0.02509100352462597,0.6487484565376366,0.5522442215398885,0.2641159395843029,1.4651086176618282
structured_claude,0.06027023956063461,0.21912034995296692,10.54,0.49762548725784017,0.39890923885257545,0.013214183157562969,0.025283684834924432,0.6805404238682384,0.39598581952195394,0.25837674204282146,1.3349029854330139
structured_gemini,0.0820926560965043,0.20200208221758753,8.89,0.6046266233766233,0.4223000203975333,0.014173376550565548,0.027055587662189084,0.5319933844337547,1.2468119173231957,0.33659215929786,2.1153974610548105
structured_openai,0.07423395174907099,0.2258082463620094,8.733333333333334,0.7198975436328378,0.46615676279677987,0.01219789666802398,0.02346201747489398,0.6369918929437364,0.5934233403291471,0.2770985358285193,1.507513769101403
