condition,absolute_iou,translation_aligned_iou,bbox_dimension_mae,material_set_f1,material_histogram_similarity,material_aware_iou,exact_position_material_f1,normalized_add_cost,normalized_delete_cost,normalized_replace_cost,total_normalized_repair_cost
direct_image_to_build,0.0483172239456379,0.2503265254866079,7.803333333333334,0.6541819022051221,0.4241201747479297,0.0058623489571665,0.0115330004206484,0.509981395573121,0.939049442732638,0.3937083106949714,1.8427391490007308
free_form_claude,0.070759765426513,0.2086124321778485,11.036666666666669,0.4853452935952936,0.3793308266835033,0.0136923761360935,0.0261164114106263,0.7061338812007301,0.3432239552192878,0.2447024581068662,1.2940602945268844
free_form_gemini,0.090081196417535,0.2122005246643097,9.106666666666666,0.6325474802974803,0.4308021089301515,0.0168339548116198,0.0318640859203953,0.5276072375665802,1.2267963367085088,0.3313350991144567,2.085738673389546
free_form_openai,0.084293791674923,0.224062871152979,9.056666666666668,0.7259592221503987,0.4785590587031046,0.0129253799695575,0.0250910035246259,0.6487484565376366,0.5522442215398885,0.2641159395843029,1.4651086176618282
structured_claude,0.0602702395606346,0.2191203499529669,10.54,0.4976254872578401,0.3989092388525754,0.0132141831575629,0.0252836848349244,0.6805404238682384,0.3959858195219539,0.2583767420428214,1.334902985433014
structured_gemini,0.0820926560965043,0.2020020822175875,8.89,0.6046266233766233,0.4223000203975333,0.0141733765505655,0.027055587662189,0.5319933844337547,1.2468119173231955,0.33659215929786,2.1153974610548105
structured_openai,0.0742339517490709,0.2258082463620094,8.733333333333334,0.7198975436328378,0.4661567627967798,0.0121978966680239,0.0234620174748939,0.6369918929437364,0.5934233403291471,0.2770985358285193,1.507513769101403
