ci95_high,ci95_low,holm_p,n,raw_p,spearman_rho,stage,x,y
-0.7085994070392705,-0.7807999019263242,4.875072078087359e-107,600,6.093840097609199e-108,-0.7466202322502569,dimension_description_to_bbox,dimension_score,bbox_dimension_mae
-0.7654806874991472,-0.8459574126002706,1.3374634047923505e-139,600,1.486070449769278e-140,-0.809715105431241,bbox_to_aligned_geometry,bbox_dimension_mae,translation_aligned_iou
0.7008292138045357,0.5795186298845943,3.851200179067308e-71,600,6.41866696511218e-72,0.6451643771258603,aligned_to_absolute_geometry,translation_aligned_iou,absolute_iou
0.690151234209894,0.5897397097394058,1.600312585103406e-70,600,3.200625170206812e-71,0.6427278285376773,material_description_to_set,material_description_score,material_set_f1
0.6335207271611617,0.5071159777514677,5.170877878597491e-53,600,1.723625959532497e-53,0.5722665953820057,material_set_to_histogram,material_set_f1,material_histogram_similarity
0.6010875650201963,0.4706928051284829,2.6128420775783663e-46,600,1.3064210387891831e-46,0.5394787161776375,histogram_to_absolute_grounding,material_histogram_similarity,material_aware_iou
1.0,1.0,0.0,600,0.0,1.0,material_aware_to_exact_f1,material_aware_iou,exact_position_material_f1
0.4858851128485631,0.374663018417408,3.7515330483179096e-29,600,3.7515330483179096e-29,0.4354192176565128,completeness_to_actions,completeness_score,free_action_count
0.6569683014385619,0.542798173691621,4.040051209108996e-60,600,1.0100128022772492e-60,0.6031660430523553,actions_to_voxels,free_action_count,free_voxel_count
0.7618844041673792,0.6738563323294252,7.57445681158299e-96,600,1.08206525879757e-96,0.7193417844481287,voxel_count_to_repair,free_voxel_count,total_normalized_repair_cost
