model,metric,n,mean,median,ci95_low,ci95_high
pooled,delta_absolute_iou,600,-0.0094695035234066,-0.0015275873887175,-0.0134091564474005,-0.0057126437591581
pooled,delta_translation_aligned_iou,600,0.0042810285768532,0.0002784402756845,-0.0001345383537511,0.0087655574474317
pooled,delta_bbox_dimension_mae,600,-0.2227777777777778,0.0,-0.3838888888888889,-0.0644166666666671
pooled,delta_centroid_distance,600,1.0671825020937595,0.0420071072616972,0.7693431866702866,1.3751193230989058
pooled,delta_alignment_shift_magnitude,600,0.8822127689427222,0.0,0.4791977775447944,1.3027495239908486
pooled,delta_voxel_count_ratio,600,0.0216944485729204,0.0,-0.0294729777612399,0.0721719625574525
pooled,delta_occupancy_density,600,-0.0039335308450373,-0.0052226813590449,-0.0239101799096345,0.0162619000353323
pooled,delta_position_grounding_loss,600,0.0137505321002598,0.0053030857160722,0.008336386361335,0.0192267216514829
pooled,delta_residual_intrinsic_geometry_error,600,-0.0042810285768532,-0.0002784402756845,-0.0087655574474317,0.0001345383537511
openai,delta_absolute_iou,200,-0.0060411672776225,-0.0031199042818087,-0.0116826741368551,-0.0005085094498536
openai,delta_translation_aligned_iou,200,0.0068776825911569,0.0033131268396163,-0.0007987246929517,0.0146486780626866
openai,delta_bbox_dimension_mae,200,-0.295,0.0,-0.6067083333333333,-0.0400000000000001
openai,delta_centroid_distance,200,1.003570839188132,0.0890453359739265,0.4593804037980788,1.5478537132086574
openai,delta_alignment_shift_magnitude,200,0.6344126570557441,0.0,-0.0710104963557707,1.300262375830602
openai,delta_voxel_count_ratio,200,0.0675268039332591,0.0078296703296704,0.0094603208765155,0.1261007243034944
openai,delta_occupancy_density,200,-0.009868120316691,-0.0210797182836656,-0.0352137508770883,0.0163525229377792
openai,delta_position_grounding_loss,200,0.0129188498687795,0.0071953129281851,0.0046046552593118,0.0209555474736642
openai,delta_residual_intrinsic_geometry_error,200,-0.0068776825911569,-0.0033131268396163,-0.0146486780626866,0.0007987246929517
claude,delta_absolute_iou,200,-0.0121453705927578,-0.0020133740515322,-0.0188960690420019,-0.0053439911089495
claude,delta_translation_aligned_iou,200,0.0094032897860819,0.002257383005385,0.0015108698291274,0.0172704025501709
claude,delta_bbox_dimension_mae,200,-0.325,0.0,-0.5433333333333333,-0.1116666666666667
claude,delta_centroid_distance,200,1.1463301320824033,0.0990807655135004,0.6684738297525948,1.6345161863530284
claude,delta_alignment_shift_magnitude,200,1.03692714469902,0.1573215685808069,0.265042674554984,1.8172316455495456
claude,delta_voxel_count_ratio,200,0.0547488328980817,0.0168424018583514,0.0199244848193194,0.0908624478802224
claude,delta_occupancy_density,200,-0.0366384664114757,-0.0262079147623706,-0.0602437842158969,-0.0131744807183814
claude,delta_position_grounding_loss,200,0.0215486603788398,0.0098645045073485,0.0116101847787187,0.0322193736614044
claude,delta_residual_intrinsic_geometry_error,200,-0.0094032897860819,-0.002257383005385,-0.0172704025501709,-0.0015108698291274
gemini,delta_absolute_iou,200,-0.0102219726998394,-0.0001263279460599,-0.0173124276162091,-0.0029427004919887
gemini,delta_translation_aligned_iou,200,-0.0034378866466792,0.0,-0.0107602874576621,0.0037257348828825
gemini,delta_bbox_dimension_mae,200,-0.0483333333333333,0.0,-0.3666666666666666,0.2783333333333334
gemini,delta_centroid_distance,200,1.0516465350107431,0.0,0.4758496776381145,1.657176762202781
gemini,delta_alignment_shift_magnitude,200,0.975298505073402,0.0,0.2540218128834893,1.6935770830689878
gemini,delta_voxel_count_ratio,200,-0.0571922911125796,0.0,-0.1945047136934297,0.0758636245095901
gemini,delta_occupancy_density,200,0.0347059941930547,0.0,-0.0124103783209269,0.0842320814296445
gemini,delta_position_grounding_loss,200,0.0067840860531601,0.0002690202171843,-0.0019704414346253,0.015224185833287
gemini,delta_residual_intrinsic_geometry_error,200,0.0034378866466792,0.0,-0.0037257348828825,0.0107602874576621
